outfit_id,gender,style,season,tags
71538,F,스트릿,여름,"숄더백,나이키,데님팬츠,스니커즈,베이프,여름,스트릿,반팔티셔츠"
71541,M,스트릿,여름,"나이키,스트릿,데님팬츠,스니커즈,여름,반팔티셔츠"
71543,F,캐주얼,여름,"데님팬츠,스니커즈,여름,컨버스,반팔티셔츠,캐주얼,크로스백"
71554,F,걸리시,여름,"여름,니트,스커트,워커,걸리시"
71555,M,캐주얼,여름,"백팩,데님팬츠,스니커즈,여름,반팔티셔츠,반스,캐주얼"
71563,M,스트릿,여름,"셔츠,슬랙스,스트릿,여름,워커"
71564,M,스트릿,여름,"셔츠,스트릿,스니커즈,여름,카고팬츠"
71565,M,스트릿,여름,"나이키,스트릿,여름,유니폼"
71568,M,스트릿,여름,"숄더백,스니커즈,스트릿,여름,카고팬츠,반팔티셔츠,필루미네이트"
71571,M,스트릿,여름,"슬랙스,백팩,스트릿,스니커즈,여름,반팔티셔츠,엑스디디자인,논메인스트리머"
71572,F,걸리시,여름,"숄더백,스니커즈,여름,원피스,걸리시"
71575,F,캐주얼,여름,"여름,스니커즈,반팔티셔츠,스커트,캐주얼"
71576,M,캐주얼,여름,"캠프캡,나이키,스니커즈,여름,조거팬츠,반팔티셔츠,캐주얼,크로스백"
71582,M,아메리칸 캐주얼,여름,"점프수트,여름,아메리칸캐주얼,워커,아메리칸 캐주얼"
71586,F,걸리시,여름,"스니커즈,여름,카디건,원피스,걸리시"
71592,M,캐주얼,여름,"여름,치노팬츠,반팔티셔츠,캐주얼,첼시부츠"
71596,M,스트릿,여름,"레더팬츠,블루종,여름,스트릿,워커,닥터마틴"
71597,M,스트릿,여름,"커버낫,스타디움,데님팬츠,스니커즈,여름,스트릿,볼캡,재킷"
71600,F,캐주얼,여름,"셔츠,데님팬츠,여름,스니커즈,캐주얼,크로스백"
71603,M,캐주얼,여름,"슬랙스,스니커즈,여름,반팔티셔츠,버킷햇,캐주얼"
71604,M,스트릿,여름,"스트릿,스니커즈,여름,내셔널지오그래픽,디스트로이드,반팔티셔츠,크로스백"
71605,F,걸리시,여름,"데님팬츠,스니커즈,여름,컨버스,티셔츠,걸리시"
71606,M,스트릿,여름,"데님팬츠,스트릿,스니커즈,여름,볼캡,반팔티셔츠,반스"
71610,F,스트릿,여름,"스트릿,스니커즈,여름,캉골,플리츠,크로스백"
71611,F,캐주얼,여름,"스니커즈,여름,니트,스커트,캐주얼,크로스백"
71614,M,스트릿,여름,"샌들,스트릿,여름,반팔티셔츠,와이드팬츠,비니,크로스백"
71616,F,캐주얼,여름,"슬랙스,크롭탑,스니커즈,여름,캐주얼"
71617,F,캐주얼,여름,"여름,부츠,닥터마틴,캐주얼,원피스,크로스백"
71619,M,스트릿,여름,"팔렛,스트릿,스니커즈,여름,치노팬츠,반팔티셔츠"
71622,F,캐주얼,여름,"팔렛,스니커즈,여름,반팔티셔츠,스커트,캐주얼,크로스백"
71624,F,스트릿,여름,"팔렛,스트릿,여름,반팔티셔츠,스커트,워커"
71626,M,스트릿,여름,"플립플랍,팔렛,슬랙스,스트릿,여름,반팔티셔츠"
